*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .1247    
  -8.000    ,    .5759E-01
  -6.000    ,    .4997E-01
  -4.000    ,    .4529E-01
  -2.000    ,    .4383E-01
    .000    ,    .4569E-01
   2.000    ,    .5051E-01
   4.000    ,    .5851E-01
   8.000    ,    .8627E-01
   9.000    ,    .9501E-01
   10.00    ,    .1034    
   12.00    ,    .1206    
   14.00    ,    .1388    
   16.00    ,    .1565    
   18.00    ,    .1596    
   19.00    ,    .1425    
   20.00    ,    .1250    
   21.00    ,    .1191    
   22.00    ,    .1217    
   24.00    ,    .1412    

Alpha, CL
  -16.00    ,   -1.325    
  -8.000    ,   -.4731    
  -6.000    ,   -.2674    
  -4.000    ,   -.6721E-01
  -2.000    ,    .1312    
    .000    ,    .3359    
   2.000    ,    .5493    
   4.000    ,    .7691    
   8.000    ,    1.222    
   9.000    ,    1.327    
   10.00    ,    1.419    
   12.00    ,    1.582    
   14.00    ,    1.713    
   16.00    ,    1.806    
   18.00    ,    1.688    
   19.00    ,    1.339    
   20.00    ,    .8310    
   21.00    ,    .3116    
   22.00    ,   -.1773E-01
   24.00    ,   -.7408    

Alpha, Cm
  -16.00    ,   -9.640    
  -8.000    ,   -3.242    
  -6.000    ,   -1.764    
  -4.000    ,   -.3492    
  -2.000    ,    1.048    
    .000    ,    2.508    
   2.000    ,    4.028    
   4.000    ,    5.600    
   8.000    ,    8.867    
   9.000    ,    9.639    
   10.00    ,    10.31    
   12.00    ,    11.51    
   14.00    ,    12.49    
   16.00    ,    12.49    
   18.00    ,    12.49    
   19.00    ,    12.49    
   20.00    ,    12.49    
   21.00    ,    12.49    
   22.00    ,    12.49    
   24.00    ,    12.49    

Alpha, Cyb
  -16.00    ,   -.5826E-02
  -8.000    ,   -.5826E-02
  -6.000    ,   -.5826E-02
  -4.000    ,   -.5826E-02
  -2.000    ,   -.5826E-02
    .000    ,   -.5826E-02
   2.000    ,   -.5826E-02
   4.000    ,   -.5826E-02
   8.000    ,   -.5826E-02
   9.000    ,   -.5826E-02
   10.00    ,   -.5826E-02
   12.00    ,   -.5826E-02
   14.00    ,   -.5826E-02
   16.00    ,   -.5826E-02
   18.00    ,   -.5826E-02
   19.00    ,   -.5826E-02
   20.00    ,   -.5826E-02
   21.00    ,   -.5826E-02
   22.00    ,   -.5826E-02
   24.00    ,   -.5826E-02

Alpha, Cnb
  -16.00    ,   -.9221E-03
  -8.000    ,   -.9221E-03
  -6.000    ,   -.9221E-03
  -4.000    ,   -.9221E-03
  -2.000    ,   -.9221E-03
    .000    ,   -.9221E-03
   2.000    ,   -.9221E-03
   4.000    ,   -.9221E-03
   8.000    ,   -.9221E-03
   9.000    ,   -.9221E-03
   10.00    ,   -.9221E-03
   12.00    ,   -.9221E-03
   14.00    ,   -.9221E-03
   16.00    ,   -.9221E-03
   18.00    ,   -.9221E-03
   19.00    ,   -.9221E-03
   20.00    ,   -.9221E-03
   21.00    ,   -.9221E-03
   22.00    ,   -.9221E-03
   24.00    ,   -.9221E-03

Alpha, Clb
  -16.00    ,   -.3203E-02
  -8.000    ,   -.3187E-02
  -6.000    ,   -.3183E-02
  -4.000    ,   -.3180E-02
  -2.000    ,   -.3177E-02
    .000    ,   -.3172E-02
   2.000    ,   -.3165E-02
   4.000    ,   -.3158E-02
   8.000    ,   -.3144E-02
   9.000    ,   -.3142E-02
   10.00    ,   -.3141E-02
   12.00    ,   -.3143E-02
   14.00    ,   -.3149E-02
   16.00    ,   -.3159E-02
   18.00    ,   -.3193E-02
   19.00    ,   -.3247E-02
   20.00    ,   -.3322E-02
   21.00    ,   -.3396E-02
   22.00    ,   -.3445E-02
   24.00    ,   -.3546E-02

Alpha, Q_Qinf
  -16.00    ,    1.000    
  -8.000    ,    1.000    
  -6.000    ,    1.000    
  -4.000    ,    .9775    
  -2.000    ,    .9335    
    .000    ,    .9778    
   2.000    ,    1.000    
   4.000    ,    1.000    
   8.000    ,    1.000    
   9.000    ,    1.000    
   10.00    ,    1.000    
   12.00    ,    1.000    
   14.00    ,    1.000    
   16.00    ,    1.000    
   18.00    ,    1.000    
   19.00    ,    1.000    
   20.00    ,    1.000    
   21.00    ,    1.000    
   22.00    ,    1.000    
   24.00    ,    1.000    

Alpha, Epslon
  -16.00    ,   -3.356    
  -8.000    ,   -1.109    
  -6.000    ,   -.5760    
  -4.000    ,   -.6557E-01
  -2.000    ,    .4375    
    .000    ,    .9421    
   2.000    ,    1.433    
   4.000    ,    1.911    
   8.000    ,    2.808    
   9.000    ,    3.014    
   10.00    ,    3.187    
   12.00    ,    3.456    
   14.00    ,    3.688    
   16.00    ,    3.756    
   18.00    ,    3.410    
   19.00    ,    3.025    
   20.00    ,    2.168    
   21.00    ,    1.267    
   22.00    ,    .5571    
   24.00    ,   -.3983    

Alpha, d_Epslon
  -16.00    ,    .2809    
  -8.000    ,    .2694    
  -6.000    ,    .2609    
  -4.000    ,    .2534    
  -2.000    ,    .2519    
    .000    ,    .2489    
   2.000    ,    .2423    
   4.000    ,    .2342    
   8.000    ,    .2095    
   9.000    ,    .1897    
   10.00    ,    .1605    
   12.00    ,    .1252    
   14.00    ,    .7496E-01
   16.00    ,   -.6960E-01
   18.00    ,   -.3142    
   19.00    ,   -.6209    
   20.00    ,   -.8790    
   21.00    ,   -.8054    
   22.00    ,   -.6325    
   24.00    ,   -.4777    

Alpha, CLq
  -16.00    ,   -1.312    
  -8.000    ,   -1.312    
  -6.000    ,   -1.312    
  -4.000    ,   -1.312    
  -2.000    ,   -1.312    
    .000    ,   -1.312    
   2.000    ,   -1.312    
   4.000    ,   -1.312    
   8.000    ,   -1.312    
   9.000    ,   -1.312    
   10.00    ,   -1.312    
   12.00    ,   -1.312    
   14.00    ,   -1.312    
   16.00    ,   -1.312    
   18.00    ,   -1.312    
   19.00    ,   -1.312    
   20.00    ,   -1.312    
   21.00    ,   -1.312    
   22.00    ,   -1.312    
   24.00    ,   -1.312    

